review_text,review_rating,review_timestamp,clean_review
Goid service,5,2016-09-20T09:54:41.000Z,goid service
"I hate to say this, but your application's broke today. Can't find address can't find location , I don't know why. But you must fix it !",1,2016-08-12T10:58:14.000Z,i hate to say this but your application s broke today can t find address can t find location i don t know why but you must fix it
Just tried it. Great and so helpful. Wish this has been invented years ago. Keep it up..,5,2016-01-20T10:44:54.000Z,just tried it great and so helpful wish this has been invented years ago keep it up
"Fantastic, safe riding and more convenient car service covering South East Asia.",5,2015-08-22T23:41:09.000Z,fantastic safe riding and more convenient car service covering south east asia
Navigation through application is simple even for those who are not techie. GPS/tracking is acurate relative to the system used by Ã¼ber application.,4,2015-08-13T13:23:24.000Z,navigation through application is simple even for those who are not techie gps tracking is acurate relative to the system used by ber application
No need for me pumila just to have taxi. Thank you so much grab. Hope may ganito din sa gensan :),5,2015-06-18T13:01:52.000Z,no need for me pumila just to have taxi thank you so much grab hope may ganito din sa gensan
Grab services always the best than the others. So thank you Grab ðŸ˜Š,5,2016-12-07T13:23:42.000Z,grab services always the best than the others so thank you grab
"Really good app, just need more accurate address detail..",5,2016-10-25T05:57:56.000Z,really good app just need more accurate address detail
I always use grab car and drivers are always polite. But sometimes some drivers are namimili ng destination even nkikit nmn n madming grabcar sa location ko..wlang nag cconfirm. Please do something bt that GRAB. other than thaT all is well. Tnx,4,2016-04-07T22:24:53.000Z,i always use grab car and drivers are always polite but sometimes some drivers are namimili ng destination even nkikit nmn n madming grabcar sa location ko wlang nag cconfirm please do something bt that grab other than that all is well tnx
Godd service,5,2016-10-03T10:49:47.000Z,godd service
Wish they can deliver things,5,2015-07-14T09:22:29.000Z,wish they can deliver things
And so glad that most of them can speak a little English.,5,2016-03-29T02:01:49.000Z,and so glad that most of them can speak a little english
"Love it but please grab money  is getting to high this days , pls don't make me stop using it",5,2016-08-24T08:03:09.000Z,love it but please grab money is getting to high this days pls don t make me stop using it
Nice promos.,4,2015-03-25T14:59:47.000Z,nice promos
