review_text,review_rating,review_timestamp,clean_review
"Great, fun, wish there was voice directions..",5,02-05-2012 22:32,great fun wish there was voice directions
Love the user involvement but not all the routes are accurate. A must have for the traveler.,4,16-11-2012 04:36,love the user involvement but not all the routes are accurate a must have for the traveler
"Works flawlessly on my dell streak 5, reported incidents are spot on because other drivers make them. Install it yo u won't regret it",5,30-12-2011 11:15,works flawlessly on my dell streak 5 reported incidents are spot on because other drivers make them install it yo u won t regret it
Works very good on my phone. Always gets me where I need to be,5,17-10-2012 08:49,works very good on my phone always gets me where i need to be
"ElÃ©g jÃ³ alkalmazÃ¡s, megmentett mÃ¡r pÃ¡r trafipaxtÃ³l :)",5,16-07-2011 17:51,el g j alkalmaz s megmentett m r p r trafipaxt l
Closest thing to replace GPS completely.,5,01-11-2012 09:28,closest thing to replace gps completely
Has tought me lots of new & better routes to places i regularly go to!,5,15-09-2011 14:47,has tought me lots of new better routes to places i regularly go to
Simply the best app to accompany you for all your driving needs! And free. The best there is.,5,09-08-2012 15:19,simply the best app to accompany you for all your driving needs and free the best there is
Excelente!!!! Lo mejor para el trafico!!!! 1000% recomendada...,5,21-06-2011 14:34,excelente lo mejor para el trafico 1000 recomendada
"FORCE CLOSE after last update. Won't launch. Until now, been using it for well over a year on my Samsung Galaxy, running Android 1.5. Please fix it.",4,22-05-2012 07:22,force close after last update won t launch until now been using it for well over a year on my samsung galaxy running android 1 5 please fix it
Great app! Works smoother than Google Maps.,5,30-07-2011 17:05,great app works smoother than google maps
Had this installed a while. Very useful to just have this running on the go for traffic information. Its weakness is navigation. Silly routes at times,4,13-12-2011 22:38,had this installed a while very useful to just have this running on the go for traffic information its weakness is navigation silly routes at times
Works perfectly fine. :),5,02-11-2012 03:40,works perfectly fine
"very helpful while traveling, but wont update automatically",5,26-11-2011 21:37,very helpful while traveling but wont update automatically
This is a great app that saves me even hours of my time everyday.,5,02-11-2012 14:53,this is a great app that saves me even hours of my time everyday
"Has done wonders for me, and I love that it's free :)",5,21-06-2012 05:33,has done wonders for me and i love that it s free
Traffic insight is excellent. More users on my map every day.,4,23-05-2012 21:56,traffic insight is excellent more users on my map every day
its good app just when typin in.addresses sometimes doesnt get the right place... sometimes freezes too...,3,29-07-2012 14:18,its good app just when typin in addresses sometimes doesnt get the right place sometimes freezes too
i like this app. i use it as backup,4,01-05-2012 15:23,i like this app i use it as backup
I'm switching to telenav. This thing is complete garbage now!,2,02-11-2012 17:26,i m switching to telenav this thing is complete garbage now
Most useful traffics apps in Malaysia. Love it.,5,30-10-2012 11:09,most useful traffics apps in malaysia love it
Love this thanks!,5,02-11-2009 13:17,love this thanks
Excellent and very user friendly.,5,01-11-2012 10:27,excellent and very user friendly
Very helpful app. Everyone should waze,5,05-11-2012 20:16,very helpful app everyone should waze
it is easy and friendly to use.,4,13-08-2012 07:49,it is easy and friendly to use
"I like the features but it crashes and ""hangs"" a fair amount. Kind of buggy. But when it works, it's great.",3,04-09-2011 00:53,i like the features but it crashes and hangs a fair amount kind of buggy but when it works it s great
Works well with my phone,5,07-08-2012 20:14,works well with my phone
Force closes and errors and freezes my phone all the time! Would be a great app if it worked!,1,03-02-2012 21:55,force closes and errors and freezes my phone all the time would be a great app if it worked
Works well! Advanced warning for cops,5,02-08-2011 18:09,works well advanced warning for cops
I used it in NorCal and now here in the Midwest it is flawless,5,20-06-2012 17:21,i used it in norcal and now here in the midwest it is flawless
WAZE has been fun and very helpful!!,4,31-07-2011 01:09,waze has been fun and very helpful
"You can participate in the GPS reporting and observing where radar cops are, accidents, traffic backups and way more.Sweet GPS and more.Rated 5 plus stars.",5,21-07-2012 14:11,you can participate in the gps reporting and observing where radar cops are accidents traffic backups and way more sweet gps and more rated 5 plus stars
Best sat nav and easy to use aanddd free!,5,15-11-2012 11:10,best sat nav and easy to use aanddd free
No users in my area.,1,16-09-2012 16:58,no users in my area
This is a great app but it needs to have the ability to pause music in the back ground when in Nav mode instead of trying to speak ove it.,3,09-09-2012 11:49,this is a great app but it needs to have the ability to pause music in the back ground when in nav mode instead of trying to speak ove it
"Es imposible usar waze en android, pega el telÃ©fono, se cae y para colmo borra mis favoritos.",1,25-07-2012 21:33,es imposible usar waze en android pega el tel fono se cae y para colmo borra mis favoritos
Directions should use googles directions though,5,01-05-2012 12:21,directions should use googles directions though
Time saver....awesome,5,21-05-2011 18:01,time saver awesome
